,Act_Agri,Act_Min,Act_Manu,Act_elect_agua_gas,Act_const,Act_serv,prod_Agri,prod_Min,prod_Manu,prod_elect_agua_gas,prod_const,prod_serv,Trabajo,Capital,Hogares,Empresas,Gobierno,Cont_soc,Pres_soc,Imp_dir,Imp_prod,Imptos_Espec,IVA,Arancel,row,S-I,Var_Exis,Total
Act_Agri,,,,,,,20873.17577,0,11.96283817,0,0,2509.856253,,,,,,,,,,,,,,,,23394.99486
Act_Min,,,,,,,0,55884.72643,2611.78052,0,0,1043.381914,,,,,,,,,,,,,,,,59539.88886
Act_Manu,,,,,,,220.8471371,328.4344368,85317.13186,405.0865007,0.000426,6422.264032,,,,,,,,,,,,,,,,92693.7644
Act_elect_agua_gas,,,,,,,0,0,88.86086605,14995.87762,19.75738696,856.4464289,,,,,,,,,,,,,,,,15960.9423
Act_const,,,,,,,0,0,0,0,36910.10463,235.7660663,,,,,,,,,,,,,,,,37145.8707
Act_serv,,,,,,,5340.01411,293.8212781,38242.78877,219.8562319,0.265726232,210996.1258,,,,,,,,,,,,,,,,255092.8719
prod_Agri,1957.332407,0.037337892,13598.84664,45.01031432,14.55877241,526.8652603,,,,,,,,,6824.8409,,0,,,,,,,,5714.046448,740.4563182,-135.4819468,29286.51246
prod_Min,34.32274224,4834.076805,8443.895492,3744.254427,228.6853362,9.475939461,,,,,,,,,0,,0,,,,,,,,48890.02028,0,-341.2166572,65843.51437
prod_Manu,7755.247516,7449.344652,31021.72994,1414.088837,11651.64051,28241.06326,,,,,,,,,78911.97552,,151.6163704,,,,,,,,31372.72838,25242.90529,884.9985901,224097.3389
prod_elect_agua_gas,243.6730671,3443.00573,2953.222203,1970.820922,239.228521,3155.770994,,,,,,,,,4502.266865,,94.67712161,,,,,,,,0,0,0,16602.66542
prod_const,0,0,0,0,5296.46214,2914.394733,,,,,,,,,0,,0,,,,,,,,0,29904.47308,0,38115.32995
prod_serv,4895.095808,8638.706348,11749.38441,2679.011276,4287.232071,74580.47127,,,,,,,,,76715.36866,,38489.97224,,,,,,,,7691.939229,11570.59053,0,241297.7718
Trabajo,2645.681335,3769.337388,8599.072253,1424.912864,8252.310821,78199.65765,,,,,,,,,,,,,,,,,,,,,,102890.9723
Capital,5751.104337,31179.31701,15959.06841,4355.337496,6990.637936,64971.60877,,,,,,,,,,,,,,,,,,,10492,,,139699.074
Hogares,,,,,,,,,,,,,102890.9723,31833.51308,,18733.7577,23436.5281,,17381.8182,,,,,,,,,194276.5894
Empresas,,,,,,,,,,,,,,104825.881,,,,12575.17476,,,,,,,,,,117401.0558
Gobierno,,,,,,,,,,,,,,3039.6799,,17102.6048,,1397.24164,,25141.2771,3713.331098,1517.945306,24643.88123,1092.238909,,,,77648.19999
Cont_soc,,,,,,,,,,,,,,,13972.4164,,,,,,,,,,,,,13972.4164
Pres_soc,,,,,,,,,,,,,,,,7943.0668,9438.7514,,,,,,,,,,,17381.8182
Imp_dir,,,,,,,,,,,,,,,4377.3673,20763.9098,,,,,,,,,,,,25141.2771
Imp_prod,112.5376438,226.0635903,368.545044,327.5061625,185.1145904,2493.564066,,,,,,,,,,,,,,,,,,,,,,3713.331098
Imptos_Espec,,,,,,,0,0,1517.945306,0,0,0,,,,,,,,,,,,,,,,1517.945306
IVA,,,,,,,927.8127332,0.894931749,15190.06729,979.3444365,1183.930791,6361.83105,,,,,,,,,,,,,,,,24643.88123
Arancel,,,,,,,55.17789507,27.77205959,1008.830872,0,0,0.458083219,,,,,,,,,,,,,,,,1092.238909
row,,,,,,,1869.484815,9307.865231,80107.97053,2.500637429,1.270990595,12871.64218,,,,,,,,,,,,,,,,104160.7344
S-I,,,,,,,,,,,,0,,,8972.3538,52857.7165,6036.6548,,,,,,,,,,,67866.7251
Var_Exis,,,,,,,,,,,,0,,,,,,,,,,,,,,408.2999861,,408.2999861
Total,23394.99486,59539.88886,92693.7644,15960.9423,37145.8707,255092.8719,29286.51246,65843.51437,224097.3389,16602.66542,38115.32995,241297.7718,102890.9723,139699.074,194276.5894,117401.0556,77648.20003,13972.4164,17381.8182,25141.2771,3713.331098,1517.945306,24643.88123,1092.238909,104160.7343,67866.7252,408.2999861,
