,Act prim,Act manu,Act serv,Prod prim,Prod manu,Prod serv,Trabajo,Capital,Hogares,Empresas,Gobierno,Cont_soc,Pres_soc,Imp_dir,Imp_prod,Imptos_Espec,IVA,Arancel,row,S-I,Var_Exis,Total
Act prim,0,0,0,28803039.28,1069724.034,941550.1962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30814313.51
Act manu,0,0,0,173565.699,62723730.2,1318426.093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64215721.99
Act serv,0,0,0,1,1495441.644,87052368.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88547810.33
Prod prim,3160537.558,11927984.22,164088.9873,0,0,0,0,0,1211591.557,,17532.9745,0,0,0,0,0,0,0,18405805.44,257964.5881,-93143.00505,35052362.31
Prod manu,6913774.788,22115420.81,11396589.85,0,0,0,0,0,23089910.91,,83720.26213,0,0,0,0,0,0,0,13489883.44,19344119.33,1268502.871,97701922.26
Prod serv,4445691.132,10255333.88,25790391.53,0,0,0,0,0,32838168.07,,10394112.22,0,0,0,0,0,0,0,7057476.613,3576631.46,8150.64832,94365955.56
Trabajo,2987826.887,7101080.79,24044123.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34133031.37
Capital,13191752.93,11595957.68,24571594.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4754054.151,0,0,54113359.2
Hogares,0,0,0,0,0,0,34131359.49,12060735.8,0,17431284.4,2107379.534,,5506766.72,0,0,0,0,0,0,0,0,71237525.95
Empresas,0,0,0,0,0,0,0,31096709.39,0,0,0,5857005.13,0,0,0,0,0,0,0,0,0,36953714.52
Gobierno,0,0,0,0,0,0,0,981093.5,0,0,0,1623878.3,0,5882865.7,1444853.663,951001.4979,7386976.886,572763.5418,0,0,0,18843433.09
Cont_soc,0,0,0,0,0,0,0,0,7480883.43,0,0,0,0,0,0,0,0,0,0,0,0,7480883.43
Pres_soc,0,0,0,0,0,0,0,0,0,1523391.62,3983375.1,0,0,0,0,0,0,0,0,0,0,5506766.72
Imp_dir,0,0,0,0,0,0,0,0,1208967,4673898.7,0,0,0,0,0,0,0,0,0,0,0,5882865.7
Imp_prod,101996.5326,248614.4549,1094242.675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1444853.663
Imptos_Espec,0,951001.4979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,951001.4979
IVA,12733.68651,20328.66148,1486779.15,254765.8734,5033784.004,578585.5105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7386976.886
Arancel,0,0,0,79138.21392,493590.1569,35.17101835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,572763.5418
row,0,0,0,5741853.248,26885652.22,4474989.424,1671.88,9974820.551,0,0,0,0,0,0,0,0,0,0,0,0,0,47078987.33
S-I,0,0,0,0,0,0,0,0,5408005.4,13325139.8,2257313,0,0,0,0,0,0,0,3371767.694,0,0,24362225.89
Var_Exis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1183510.514,0,1183510.514
Total,30814313.51,64215721.99,88547810.33,35052362.31,97701922.26,94365955.08,34133031.37,54113359.24,71237526.37,36953714.52,18843433.09,7480883.43,5506766.72,5882865.7,1444853.663,951001.4979,7386976.886,572763.5418,47078987.34,24362225.89,1183510.514,
