,Act prim,Act manu,Act serv,Prod prim,Prod manu,Prod serv,Trabajo,Capital,Hogares,Empresas,Gobierno,Cont_soc,Pres_soc,Imp_dir,Imp_prod,Imptos_Espec,IVA,S-I,Var_Exis,Total
Act prim,0,0,0,28.80303928,1.069724034,0.941550196,0,0,0,0,0,0,0,0,0,0,0,0,0,30.81431351
Act manu,0,0,0,0.173565699,62.7237302,1.318426093,0,0,0,0,0,0,0,0,0,0,0,0,0,64.21572199
Act serv,0,0,0,0,1.495441644,87.05236869,0,0,0,0,0,0,0,0,0,0,0,0,0,88.54781033
Prod prim,3.160537558,11.92798422,0.164088987,0,0,0,0,0,13.87554375,0,0.017532975,0,0,0,0,0,0,0.257964588,-0.093143005,29.31050907
Prod manu,6.913774788,22.11542081,11.39658985,0,0,0,0,0,9.69414213,0,0.083720262,0,0,0,0,0,0,19.34411933,1.268502871,70.81627004
Prod serv,4.445691132,10.25533388,25.79039153,0,0,0,0,0,35.42065526,0,10.39411222,0,0,0,0,0,0,3.57663146,0.008150648,89.89096613
Trabajo,2.987826887,7.10108079,24.0441237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.13303138
Capital,13.19175293,11.59595768,24.57159445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.35930506
Hogares,0,0,0,0,0,0,34.13303137,17.2815022,0,17.4312844,2.107379534,0,5.50676672,0,0,0,0,0,0,76.45996422
Empresas,0,0,0,0,0,0,0,31.09670939,0,0,0,5.85700513,0,0,0,0,0,0,0,36.95371452
Gobierno,0,0,0,0,0,0,0,0.9810935,0,0,0,1.6238783,0,5.8828657,1.444853663,0.951001498,7.959740428,0,0,18.84343309
Cont_soc,0,0,0,0,0,0,0,0,7.48088343,0,0,0,0,0,0,0,0,0,0,7.48088343
Pres_soc,0,0,0,0,0,0,0,0,0,1.52339162,3.9833751,0,0,0,0,0,0,0,0,5.50676672
Imp_dir,0,0,0,0,0,0,0,0,1.208967,4.6738987,0,0,0,0,0,0,0,0,0,5.8828657
Imp_prod,0.101996533,0.248614455,1.094242675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.444853663
Imptos_Espec,0,0.951001498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.951001498
IVA,0.012733687,0.020328661,1.48677915,0.333904087,5.527374161,0.578620682,0,0,0,0,0,0,0,0,0,0,0,0,0,7.959740428
S-I,0,0,0,0,0,0,0,0,8.779773094,13.3251398,2.257313,0,0,0,0,0,0,0,0,24.36222589
Var_Exis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.183510514,0,1.183510514
Total,30.81431351,64.21572199,88.54781034,29.31050907,70.81627004,89.89096566,34.13303137,49.35930509,76.45996466,36.95371452,18.84343309,7.48088343,5.50676672,5.8828657,1.444853663,0.951001498,7.959740428,24.36222589,1.183510514,0
