,Act,Prod,Trabajo,Capital,Hogares,Empresas,Gobierno,Cont_soc,Pres_soc,Imp_dir,IVA,S-I,Total
Act,0,83.49233642,0,0,0,0,0,0,0,0,0,0,83.49233642
Prod,0,0,0,0,56.02172244,0,10.49536546,0,0,0,0,24.36222589,90.87931378
Trabajo,34.13303136,0,0,0,0,0,0,0,0,0,0,0,34.13303136
Capital,49.35930506,0,0,0,0,0,0,0,0,0,0,0,49.35930506
Hogares,0,0,34.13303137,17.2815022,0,17.4312844,0.556378036,0,4.089149954,0,0,0,73.49134596
Empresas,0,0,0,31.09670939,0,0,0,5.85700513,0,0,0,0,36.95371452
Gobierno,0,0,0,0.9810935,0,0,0,1.6238783,0,5.8828657,7.386976886,0,15.87481439
Cont_soc,0,0,0,0,7.48088343,0,0,0,0,0,0,0,7.48088343
Pres_soc,0,0,0,0,0,1.52339162,2.565758334,0,0,0,0,0,4.089149954
Imp_dir,0,0,0,0,1.208967,4.6738987,0,0,0,0,0,0,5.8828657
IVA,0,7.386976886,0,0,0,0,0,0,0,0,0,0,7.386976886
S-I,0,0,0,0,8.779773094,13.3251398,2.257313,0,0,0,0,0,24.36222589
Total,83.49233642,90.87931331,34.13303137,49.35930509,73.49134596,36.95371452,15.87481483,7.48088343,4.089149954,5.8828657,7.386976886,24.36222589,0
