"parametro","original","bias","std. error","min. c.i.","max. c.i.","shock","variable"
"omega",-0.964935607022291,-0.000294846986938713,0.00682140975609351,-0.980379972536897,-0.952699222749911,"iva","var_pib_real_pct"
"sigma_q",-0.318648989051009,0.00600621556300746,0.0764933292903896,-0.489148375061022,-0.176208735853404,"iva","var_pib_real_pct"
"sigma_t",-0.0818358396514063,-0.0120282232901844,0.0894581558289532,-0.247550220872017,0.113684830165044,"iva","var_pib_real_pct"
"phi",0.107730773698866,0.00154386359337723,0.102940057452568,-0.0797714001743431,0.332225403076823,"iva","var_pib_real_pct"
"eta",-0.986908573592352,8.50007251016471e-05,0.00282160427286042,-0.993262971026357,-0.981945689616444,"iva","var_pib_real_pct"
"omega",-0.963228760646836,-0.000265728313816327,0.00737229952820577,-0.978502345793922,-0.949862245381402,"pit","var_pib_real_pct"
"sigma_q",-0.409177671768746,0.005104048564811,0.0782023393783851,-0.568173932308154,-0.262746797249199,"pit","var_pib_real_pct"
"sigma_t",-0.151346406198233,-0.00494609722220424,0.0860618628766919,-0.345415548427917,0.0223379797003251,"pit","var_pib_real_pct"
"phi",0.105127095861425,0.0127799696668295,0.0934633981149263,-0.0928634026220232,0.27060772978925,"pit","var_pib_real_pct"
"eta",-0.991701160671763,0.000151255751036028,0.00196118465173027,-0.996910209188358,-0.988635193066932,"pit","var_pib_real_pct"
"omega",0.813895980547912,0.00219207832374668,0.0258328087785976,0.76011113516522,0.862452631000238,"fit","var_pib_real_pct"
"sigma_q",0.215425235060272,0.00441062929782443,0.0829464848390186,0.0681881687772005,0.402283598105594,"fit","var_pib_real_pct"
"sigma_t",0.0944023563808541,0.00565278521306471,0.106396067748416,-0.122541592983185,0.303848521653784,"fit","var_pib_real_pct"
"phi",0.0660650509529669,-0.00634668904201217,0.0927489322066649,-0.0865739656667671,0.258350534479589,"fit","var_pib_real_pct"
"eta",0.997505245679244,1.90114241113148e-05,0.000386377810319191,0.996809443724295,0.998267640251388,"fit","var_pib_real_pct"
