"shock","variable","p10","p50","p90","sd","n"
"fit","delta_tax_pp_pib",-0.0961274162122699,-0.0528846587993875,0.0120365163101258,0.0392837662404267,118
"fit","delta_u_pp",-0.615329803585995,-0.296391627083823,-0.0689072658503904,0.204678644632951,118
"fit","var_c_real_pct",0.0218156979082251,0.0877712014492604,0.190114522392173,0.066049308297193,118
"fit","var_i_real_pct",0.130317515617908,0.318277445362447,0.594480430495861,0.168441582059893,118
"fit","var_m_real_pct",0.0270185821776558,0.0482185682299852,0.0931749768783629,0.0312553679186808,118
"fit","var_pib_real_pct",0.0317993269691663,0.137241245526176,0.281654511082723,0.094264218614697,118
"fit","var_x_real_pct",-0.0187580700690304,0.0557270669924503,0.161744018064018,0.0694383562343734,118
"iva","delta_tax_pp_pib",-0.0194503514979866,-0.00227890902124023,0.0100815650523353,0.0111269582949114,118
"iva","delta_u_pp",0.395805784275036,0.46433047265497,0.571814062154753,0.0665669229315119,118
"iva","var_c_real_pct",-0.200115472859785,-0.150113340809549,-0.111249704161978,0.0327055297286298,118
"iva","var_i_real_pct",-0.168565178980792,-0.0889995160066881,-0.0372236060329201,0.0469929116492675,118
"iva","var_m_real_pct",-0.128841669598021,-0.0883461048505507,-0.0434407323574093,0.0320059125459927,118
"iva","var_pib_real_pct",-0.179853378499079,-0.12798153830626,-0.0957129857504313,0.0316193657266929,118
"iva","var_x_real_pct",-0.192248502641497,-0.143764087048254,-0.0988586935542957,0.0349184936079969,118
"pit","delta_tax_pp_pib",-0.0354076909495879,0.00534945139643445,0.03333558055791,0.0259313977771604,118
"pit","delta_u_pp",0.709095777980251,0.862511755416555,1.09317033684436,0.147551838985447,118
"pit","var_c_real_pct",-0.654633741639273,-0.551004422915707,-0.478064607741164,0.0657716653598741,118
"pit","var_i_real_pct",-0.393454818200102,-0.208984620485997,-0.0874521128966421,0.110153721152751,118
"pit","var_m_real_pct",-0.197361192351411,-0.122923597752156,-0.0357915834149625,0.0606723880761263,118
"pit","var_pib_real_pct",-0.520949658493881,-0.411179516378035,-0.339107943039096,0.0695744212998114,118
"pit","var_x_real_pct",-0.323166571200758,-0.22190350021869,-0.13918279150648,0.0700110367061384,118
